id,name,birthDate,birthArea
1366,Olli Banjo,1977-01-12,Heidelberg
1367,Patrice,1979-07-09,Kerpen
1368,Pierro,,
1369,Afrodiziak,1982,
1370,Jango Jack,,
1371,Brian & Tony Gold,,Jamaica
1372,Carré Rouge,,
1373,Spécialistes,1997,
1374,Bab,,
1375,D. Abuz,,
1376,Laure Milan,1980,
1377,PM,,
1378,K2C,,
1379,Abuz,,
1380,Thomas Banghalter,1980-07-04,Trondheim
1381,Costello,1954-08-25,Paddington
1382,Dreiser,,
1383,Sexto Sentido,1997,La Habana
1384,Theo Parrish,1972,"Washington, D.C."
1385,Armand,1946-04-10,Eindhoven
1386,Don Geo,,
1387,Toy,1979-10,Sunderland
1388,DJ Naughty J,,
1389,DJ Rash,,
1390,Nathyboss,,
